objectid,filename,title,date,director,cast,genre,synopsis,format
coll001,1.jpg,Donor,2010,Mark Meily,"Baron Geisler, Meryll Soriano",Drama,"Desperate for money, Lizette pursues the dark and thankless world of organ donation, hoping for a better life.",image/jpeg
coll002,2.jpg,Ang Paglilitis ni Andres Bonifacio,2010,Mario O'Hara,Alfred Vargas,Drama; History,"Ang Paglilitis ni Andres Bonifacio is the untold story of the trial of Andres Bonifacio under the Revolutionary Government of Pres. Emilio Aguinaldo. Two leaders, Andres Bonifacio, Supremo of the Katipuneros, and Emilio Aguinaldo, president of the Revolutionary Government, made their way to fight for freedom for the Filipinos against the dominant rule, fought for a cause and for a reason to be one nation. Yet only one should rule. This was the start of Philippine politics. Ang Paglilitis ni Andres Bonifacio is a film documentation of Philippine history put to screen and megged by Mario O’Hara. And now, let the people be the judge whether Andres Bonifacio is guilty or not guilty of treason.",image/jpeg
coll003,3.jpg,Pink Halo-Halo,2010,Joselito Altarejos,"Angeli Bayani, Allen Dizon",Drama,"Natoy, like any other child, finds joy and excitement in the simplest of things, especially in eating halo-halo filled with pink gelatin and red sago. Things change suddenly when, as he is watching television, a news report about the ongoing war in Mindanao shows footage of a badly wounded soldier waiting to be rescued. That soldier, almost bleeding to death, is his father, Corporal Lino Bolante. This starts his journey as he and his mother Sonia wait for help that comes too late. This story does not only show how the war in Mindanao robs a child of his innocence, but also shows the shadows of war that Filipino homes confront everyday.",image/jpeg
coll004,4.jpg,Two Funerals,2010,Gil Portes,"Tessie Tomas, Robert Arevalo, Princess Manzon, Xian Lim",Drama; Comedy,"After a horrific collision between a passenger bus and an 18-wheeler truck in Nueva Ecija claimed two dozen casualties, two families await the arrival of their dead.",image/jpeg
coll005,5.jpg,Sigwa,2010,Joel Lamangan,"Marvin Agustin, Gina Alajar, Tirso Cruz III, Zsa Zsa Padilla",Drama,A former student activist returns to the Philippines to find the daughter she was forced to leave behind.,image/jpeg
coll006,6.jpg,Halaw,2010,Sheron Dayoc,"John Arcilla, Maria Isabel Lopez",Drama,"This film exposes the human trafficking operation and journey through the seas of Southern Philippines to neighboring Malaysia. Based on research and interviews, this dramatic narrative provides a kaleidoscope of characters hoping for a better life in Sabah, in spite of the dubiousness of the process, and uncertainty of a true job in Malaysia. It also represents a microcosm of the multi-cultural groupings of Mindanao whose diversity is bound by a common goal, an opportunity to earn a living, as they take that illegal small boat ride from their homeland to that foreign “Promised Land.”",image/jpeg
coll007,7.jpg,The Leaving,2010,Ian Loreños,"Acey Aguilar, Margery Lao",Thriller,A Filipino-Chinese man attempts tie up the loose ends in his life before relocating to the U.S.,image/jpeg
coll008,8.jpg,Limbunan,2010,Gutierrez Mangansakan II,"Tetchie Agbayani, Joem Bascon",Drama,"The film captures the ritual motions of the women in a family preparing for the wedding of seventeen-year-old Ayesah who is betrothed to a man she barely knows. As preparations for her union is underway, Ayesah is reunited with her childhood tutor Maguid who returns to the village as a militiaman after five years, reawakening Ayesah’s past memory of childhood infatuation. Throughout Ayesah’s confinement her precocious and rebellious eight-year-old sister Saripa becomes her eyes to the world beyond her room. Her mother Amina keeps her composure despite the fact her husband sleeps with his second wife half of the time, finding solace in the belief that it is both her religious and familial duty to be an obedient wife. Ayesah’s aunt Farida is tasked to ensure that she is prepared for the wedding. However, Farida’s dark past challenges Ayesah’s resolve finding herself choosing between love and loyalty to tradition and family.",image/jpeg
coll009,9.jpg,Magkakapatid,2010,Kim Garcia,Archie Adamos,Drama,"Magkakapatid is a story about a family that drifts apart due to socio-economic differences. Three siblings, three narratives, one tragedy, wherein a brother kills his own brother, a father struggles to accept a daughter’s marriage, and a daughter who could not mourn. In a situation where even traditions can’t pull them together, a tragedy drags them together.",image/jpeg
coll010,10.jpg,Mayohan,2010,Dan Villegas,Lovi Poe,Romance,"May is the month dedicated to the Blessed Virgin Mary, mother of Christ. In Infanta, Quezon, locals turn each of the 31 days of May into a charming honor not only to celebrate good harvest in their agricultural setting, but also to pay tribute to the virginal virtues of the Mayohan. Every month of May, a padasal or series of novenas commences to mark the beginning of Mayohan. This will culminate in a Pasayaw or Tapusan in every purok of each barangay. A system of ambagan or donation ensues for the festivities to take place.",image/jpeg
